"Product","Description","Comments","Pack Size","Brand","UOM","Price"
1689521,"FRANKS, ALL BEEF 6"" 4X1 NC","","1/10/LB","VIENA","CS","73.06"
1939141,"GRAVY, BEEF ITAL","","4/1/GL","VIENA","CS","35.65"
1903121,"BEEF, ROAST NO GRAVY ITAL CKD","","2/5/LB","VIENA","CS","84.42"
1577841,"PEPPER, SPORT","","1/2/GL","VIENA","CS","27.73"
1596711,"GIARDINIERA, HOT PEPR VEG BLND","","1/2/GL","VIENA","CS","48.15"
2288681,"PICKLE, DILL WHL 55-65 CT","","1/5/GL","CBLSO","CS","33.15"
1906571,"CHICKEN, BRST B&S TNDR PRSSD","","32/5/OZ","TYSON","CS","49.86"
4198701,"CHICKEN, BRST B&S FLAT CUT BULK PK NATRL","","24/6/OZAV","JITSG","CS","6.44"
4261231,"SAUCE, CHSE CHDR AGD TFF","","6/10/CN","KATYO","CS","47.73"
4470831,"CHEESE, SWISS NATRL SLI .75Z","","6/1.5/LB","CBLSO","CS","31.80"
4470731,"CHEESE, CHDR MILD NATRL SLI .75Z","","6/1.5/LB","CBLSO","CS","24.64"
4670071,"POTATO, RUSSET BAG 6Z No.2","","1/50/LB","ESS","CS","15.43"
4670891,"POTATO, RUSSET BAG 10Z No.2","","1/50/LB","ESS","CS","17.29"
4489741,"OIL, RICE BRAN CLR FRY NON-GMO ZTF","","1/35/LB","ASPGL","CS","73.56"
4344371,"KETCHUP, 33% FCY PC 9GM","","1000/9/GM","KATYD","CS","21.67"
2504021,"TOMATO, SALSA No.2","","1/25/LB","FIELD","CS","23.88"
1929701,"TOMATO, 5X6 VINE RIPE 2 LAYER","","1/60/CT","P. L.","CS","35.00"
1907631,"TOMATO, 5X6 2-LAYER","","1/60/PK","MFC","CS","32.23"
1455251,"TOMATO, 4X5 VINE RIPE UP BULK","","1/25/LB","MFC","CS","32.41"
1929671,"TOMATO, 5X5 2 LAYER","","1/50/PK","MFC","CS","34.79"
4699991,"TOMATO, 6X6 2 LAYER","","1/72/PK","MFC","CS","21.73"
1747391,"TOMATO, ROMA No.2","","1/25/LB","FIELD","CS","34.56"
4728841,"PEPPER, BELL GRN CHOICE","","1/25/LB","ESS","CS","26.50"
4451471,"ONION, YLW JMBO No.2","","1/50/LB","ESS","CS","16.06"
4729371,"LEMON, FANCY MINI PK","","1/10/LB","MFC","CS","16.55"
2272371,"SAUCE, JAMAICAN JERK","","4/.5/GL","KNORR","CS","72.51"
3619261,"SAUCE, MANGO HABANERO","","4/64/OZ","SWRAY","CS","35.86"
4750621,"MUSTARD, PCH 500/4.5GM","","500/4.5/GM","KATYO","CS","13.23"
4750631,"MUSTARD, PCH PC 500/5.5GM","","500/5.5/GM","KATYO","CS","16.43"
1914861,"KETCHUP, 33% FCY","","6/10/CN","HEINZ","CS","37.76"
